,date,creator_name,stream_sessions,Unique Profile Visitors,Buyers,Transactions,Txns / Buyer,Total Creator Earnings,Avg Transaction Size,Worst Case Gross Profit,Est. Gross Profit
80,6/7/18,lenaaxios,1,3,1,1,1.0,0.05,0.05,0.0025,0.0125
85,6/7/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
88,6/7/18,dammitrooster,1,1,3,4,1.333333333,1.62,0.405,0.081,0.405
91,6/7/18,KingBaileyBomb,1,6,1,1,1.0,0.25,0.25,0.0125,0.0625
97,6/7/18,thatpiguy,1,3,0,0,0.0,0.0,,0.0,0.0
98,6/7/18,XenAndCL,1,2,1,1,1.0,0.1,0.1,0.005,0.025
104,6/7/18,jaredfps,3,15,2,12,6.0,32.98,2.748333333,1.649,8.245
106,6/7/18,InsertCoinTheater,0,4,0,0,0.0,0.0,,0.0,0.0
108,6/7/18,Moto,1,14,9,24,2.666666667,4.15,0.172916667,0.2075,1.0375
115,6/7/18,PinkMeatBall,0,1,0,0,0.0,0.0,,0.0,0.0
122,6/7/18,SugarPlumOnMixer,1,3,0,0,0.0,0.0,,0.0,0.0
123,6/7/18,Scarberry,1,8,5,13,2.6,1.57,0.12076923099999999,0.0785,0.3925
143,6/7/18,MAGNETRON,0,5,0,0,0.0,0.0,,0.0,0.0
147,6/7/18,Bighungry2x,1,1,2,3,1.5,11.1,3.7,0.555,2.775
157,6/7/18,TyFighter559,0,2,0,0,0.0,0.0,,0.0,0.0
162,6/7/18,kabby,2,16,6,11,1.8333333330000001,0.75,0.06818181799999999,0.0375,0.1875
169,6/7/18,Phixate,2,12,4,7,1.75,1.39,0.198571429,0.0695,0.3475
191,6/7/18,InjuredWafflez,0,1,0,0,0.0,0.0,,0.0,0.0
198,6/7/18,myboomshtickMixer,4,4,0,0,0.0,0.0,,0.0,0.0
356,6/6/18,lenaaxios,2,4,0,0,0.0,0.0,,0.0,0.0
358,6/6/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
362,6/6/18,dammitrooster,1,14,6,7,1.166666667,0.35,0.05,0.0175,0.0875
364,6/6/18,KingBaileyBomb,2,40,5,7,1.4,2.39,0.341428571,0.1195,0.5975
368,6/6/18,thatpiguy,1,32,3,7,2.333333333,1.24,0.177142857,0.062,0.31
369,6/6/18,XenAndCL,1,1,1,1,1.0,0.1,0.1,0.005,0.025
374,6/6/18,jaredfps,2,26,9,80,8.888888889,12.37,0.154625,0.6185,3.0925
375,6/6/18,InsertCoinTheater,1,1,2,3,1.5,1.5,0.5,0.075,0.375
377,6/6/18,Moto,2,14,4,10,2.5,6.14,0.614,0.307,1.535
381,6/6/18,PinkMeatBall,1,4,0,0,0.0,0.0,,0.0,0.0
385,6/6/18,SugarPlumOnMixer,2,18,2,7,3.5,1.21,0.17285714300000002,0.0605,0.3025
387,6/6/18,Scarberry,0,9,0,0,0.0,0.0,,0.0,0.0
409,6/6/18,MAGNETRON,1,36,1,12,12.0,2.85,0.2375,0.1425,0.7125
419,6/6/18,Bighungry2x,2,64,2,2,1.0,1.02,0.51,0.051,0.255
430,6/6/18,TyFighter559,0,3,1,1,1.0,0.05,0.05,0.0025,0.0125
432,6/6/18,kabby,8,144,12,35,2.916666667,34.31,0.9802857140000001,1.7155,8.5775
443,6/6/18,Phixate,1,9,3,4,1.333333333,0.66,0.165,0.033,0.165
473,6/6/18,InjuredWafflez,1,24,1,3,3.0,0.73,0.243333333,0.0365,0.1825
480,6/6/18,myboomshtickMixer,1,28,3,3,1.0,2.02,0.673333333,0.10099999999999999,0.505
640,6/5/18,lenaaxios,3,12,2,2,1.0,0.35,0.175,0.0175,0.0875
643,6/5/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
648,6/5/18,dammitrooster,1,7,4,4,1.0,0.54,0.135,0.027000000000000003,0.135
655,6/5/18,thatpiguy,0,6,4,5,1.25,2.2,0.44,0.11,0.55
659,6/5/18,jaredfps,2,6,1,8,8.0,21.7,2.7125,1.085,5.425
660,6/5/18,Moto,1,7,8,15,1.875,9.86,0.657333333,0.493,2.465
667,6/5/18,PinkMeatBall,0,2,0,0,0.0,0.0,,0.0,0.0
675,6/5/18,SugarPlumOnMixer,1,7,3,4,1.333333333,5.13,1.2825,0.2565,1.2825
702,6/5/18,MAGNETRON,1,15,10,48,4.8,11.65,0.242708333,0.5825,2.9125
726,6/5/18,kabby,1,8,5,31,6.2,8.51,0.274516129,0.4255,2.1275
736,6/5/18,Phixate,1,3,1,1,1.0,0.25,0.25,0.0125,0.0625
769,6/5/18,InjuredWafflez,2,10,4,9,2.25,16.06,1.784444444,0.8029999999999999,4.015
779,6/5/18,myboomshtickMixer,0,1,0,0,0.0,0.0,,0.0,0.0
928,6/4/18,lenaaxios,2,2,0,0,0.0,0.0,,0.0,0.0
932,6/4/18,dammitrooster,1,5,3,4,1.333333333,0.34,0.085,0.017,0.085
935,6/4/18,KingBaileyBomb,1,7,1,2,2.0,0.27,0.135,0.0135,0.0675
943,6/4/18,XenAndCL,1,1,0,0,0.0,0.0,,0.0,0.0
947,6/4/18,jaredfps,1,4,2,7,3.5,26.25,3.75,1.3125,6.5625
949,6/4/18,InsertCoinTheater,0,1,1,1,1.0,0.25,0.25,0.0125,0.0625
950,6/4/18,Moto,1,9,8,25,3.125,7.43,0.2972,0.3715,1.8575
964,6/4/18,SugarPlumOnMixer,1,1,6,37,6.166666667,5.33,0.14405405400000001,0.2665,1.3325
966,6/4/18,Scarberry,1,10,4,20,5.0,7.61,0.3805,0.3805,1.9025
995,6/4/18,MAGNETRON,1,17,14,40,2.857142857,11.39,0.28475,0.5695,2.8475
1007,6/4/18,TyFighter559,0,1,1,1,1.0,0.05,0.05,0.0025,0.0125
1018,6/4/18,Phixate,1,3,3,8,2.666666667,7.31,0.91375,0.3655,1.8275
1052,6/4/18,InjuredWafflez,1,7,0,0,0.0,0.0,,0.0,0.0
1060,6/4/18,myboomshtickMixer,2,8,2,11,5.5,11.64,1.058181818,0.5820000000000001,2.91
1203,6/3/18,dammitrooster,0,1,0,0,0.0,0.0,,0.0,0.0
1210,6/3/18,KingBaileyBomb,1,5,4,13,3.25,2.44,0.187692308,0.122,0.61
1213,6/3/18,thatpiguy,0,18,2,6,3.0,1.1,0.18333333300000001,0.055,0.275
